Sample ID,Sample Name
Mo_2017_DOM_174,M_TW-3-T1
Mo_2017_DOM_175,M_CW-3-T1
Mo_2017_DOM_176,M_AW-3-T1
Mo_2017_DOM_177,M_CL-3-T1
Mo_2017_DOM_178,M_AL-3-T1
Mo_2017_DOM_179,M_CR-3-T1
Mo_2017_DOM_180,M_AR-3-T1
Mo_2017_DOM_181,M_OW-3-T2
Mo_2017_DOM_182,M_TW-3-T2
Mo_2017_DOM_183,M_CW-3-T2
Mo_2017_DOM_184,M_AW-3-T2
Mo_2017_DOM_185,M_CL-3-T2
Mo_2017_DOM_186,M_AL-3-T2
Mo_2017_DOM_187,M_CR-3-T2
Mo_2017_DOM_188,M_AR-3-T2
Mo_2017_DOM_189,M_OW-3-T3
Mo_2017_DOM_190,M_TW-3-T3
Mo_2017_DOM_191,M_CW-3-T3
Mo_2017_DOM_192,M_AW-3-T3
Mo_2017_DOM_193,M_CL-3-T3
Mo_2017_DOM_194,M_AL-3-T3
Mo_2017_DOM_195,M_CR-3-T3
Mo_2017_DOM_196,M_AR-3-T3
Mo_2017_DOM_197,M_OW-3-T4
Mo_2017_DOM_198,M_TW-3-T4
Mo_2017_DOM_199,M_CW-3-T4
Mo_2017_DOM_200,M_AW-3-T4
Mo_2017_DOM_201,M_CL-3-T4
Mo_2017_DOM_202,M_AL-3-T4
Mo_2017_DOM_203,M_CR-3-T4
Mo_2017_DOM_204,M_AR-3-T4
Mo_2017_DOM_205,SPIFFy_1_A
Mo_2017_DOM_206,SPIFFy_1_B
Mo_2017_DOM_207,SPIFFy_2_A
Mo_2017_DOM_208,SPIFFy_2_B
Mo_2017_DOM_209,SPIFFy_3_A
Mo_2017_DOM_210,SPIFFy_3_B
Mo_2017_DOM_211,SPIFFy_4_A
Mo_2017_DOM_212,SPIFFy_4_B
Mo_2017_DOM_213,SPIFFy_5_A
Mo_2017_DOM_214,SPIFFy_5_B
Mo_2017_DOM_215,SPIFFy_6_A
Mo_2017_DOM_216,SPIFFy_6_B
Mo_2017_DOM_217,SPIFFy_7_A
Mo_2017_DOM_218,SPIFFy_7_B
Mo_2017_DOM_219,SPIFFy_8_A
Mo_2017_DOM_220,SPIFFy_8_B
Mo_2017_DOM_221,SPIFFy_9_A
Mo_2017_DOM_222,SPIFFy_9_B
Mo_2017_DOM_223,SPIFFy_10_A
Mo_2017_DOM_224,SPIFFy_10_B
Mo_2017_DOM_225,SPIFFy_11_A
Mo_2017_DOM_226,SPIFFy_11_B
Mo_2017_DOM_227,SPIFFy_12_A
Mo_2017_DOM_228,SPIFFy_12_B
Mo_2017_DOM_229,SPIFFy_13_A
Mo_2017_DOM_230,SPIFFy_13_B
Mo_2017_DOM_231,SPIFFy_14_A
Mo_2017_DOM_232,SPIFFy_14_B
Mo_2017_DOM_233,SPIFFy_15_A
Mo_2017_DOM_234,SPIFFy_15_B
Mo_2017_DOM_235,SPIFFy_16_A
Mo_2017_DOM_236,SPIFFy_16_B
Mo_2017_DOM_237,SPIFFy_17_A
Mo_2017_DOM_238,SPIFFy_17_B
Mo_2017_DOM_239,SPIFFy_18_A
Mo_2017_DOM_240,SPIFFy_18_B
Mo_2017_DOM_241,SPIFFy_19_A
